Industry,Metric,Year,Value
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2006,20101.55
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2007,20885.541666666668
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2008,21793.416666666668
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2009,21386.583333333332
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2010,20518.875
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2011,20928.416666666668
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2012,21235.5
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2013,20979.958333333332
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2014,20641.416666666668
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2015,20554.458333333332
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2016,20655.958333333332
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2017,20540.458333333332
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2018,21434.833333333332
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2019,22458.666666666668
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2020,20346.666666666668
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2021,19896.041666666668
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2022,20886.708333333332
Aerospace product and parts manufacturing,"AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2023,22375.083333333332
"Agriculture, construction, and mining machinery manufacturing","AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2006,9154.6
"Agriculture, construction, and mining machinery manufacturing","AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2007,9583.666666666666
"Agriculture, construction, and mining machinery manufacturing","AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES, THOUSANDS",2008,10051.791666666666
